symbol,name
20MICRONS.NS,20 Microns Limited
21STCENMGM.NS,21St Century Management Services Limited
360ONE.NS,360 One Wam Limited
3IINFOLTD.NS,3I Infotech Limited
3MINDIA.NS,3M India Limited
3PLAND.NS,3P Land Holdings Limited
5PAISA.NS,5Paisa Capital Limited
63MOONS.NS,63 Moons Technologies Limited
A2ZINFRA.NS,A2Z Infra Engineering Limited
AAATECH.NS,Aaa Technologies Limited
AADHARHFC.NS,Aadhar Housing Finance Limited
AAKASH.NS,Aakash Exploration Services Limited
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited
AARON.NS,Aaron Industries Limited
AARTECH.NS,Aartech Solonics Limited
AARTIDRUGS.NS,Aarti Drugs Limited
AARTIIND.NS,Aarti Industries Limited
AARTIPHARM.NS,Aarti Pharmalabs Limited
AARTISURF.NS,Aarti Surfactants Limited
AARVI.NS,Aarvi Encon Limited
AAVAS.NS,Aavas Financiers Limited
ABAN.NS,Aban Offshore Limited
ABB.NS,Abb India Limited
ABBOTINDIA.NS,Abbott India Limited
ABCAPITAL.NS,Aditya Birla Capital Limited
ABCOTS.NS,A B Cotspin India Limited
ABDL.NS,Allied Blenders And Distillers Limited
ABFRL.NS,Aditya Birla Fashion And Retail Limited
ABINFRA.NS,A B Infrabuild Limited
ABLBL.NS,Aditya Birla Lifestyle Brands Limited
ABMINTLLTD.NS,Abm International Limited
ABREL.NS,Aditya Birla Real Estate Limited
ABSLAMC.NS,Aditya Birla Sun Life Amc Limited
ACC.NS,Acc Limited
ACCELYA.NS,Accelya Solutions India Limited
ACCURACY.NS,Accuracy Shipping Limited
ACE.NS,Action Construction Equipment Limited
ACEINTEG.NS,Ace Integrated Solutions Limited
ACI.NS,Archean Chemical Industries Limited
ACL.NS,Andhra Cements Limited
ACMESOLAR.NS,Acme Solar Holdings Limited
ACUTAAS.NS,Acutaas Chemicals Limited
ADANIENPP1.NS,Adani Enterprises Limited
ADANIENSOL.NS,Adani Energy Solutions Limited
ADANIENT.NS,Adani Enterprises Limited
ADANIGREEN.NS,Adani Green Energy Limited
ADANIPORTS.NS,Adani Ports And Special Economic Zone Limited
ADANIPOWER.NS,Adani Power Limited
ADFFOODS.NS,Adf Foods Limited
ADL.NS,Archidply Decor Limited
ADOR.NS,Ador Welding Limited
ADROITINFO.NS,Adroit Infotech Limited
ADSL.NS,Allied Digital Services Limited
ADVAIT.NS,Advait Energy Transitions Limited
ADVANCE.NS,Advance Agrolife Limited
ADVANIHOTR.NS,Advani Hotels & Resorts (India) Limited
ADVENTHTL.NS,Advent Hotels International Limited
ADVENZYMES.NS,Advanced Enzyme Technologies Limited
AEGISLOG.NS,Aegis Logistics Limited
AEGISVOPAK.NS,Aegis Vopak Terminals Limited
AEQUS.NS,Aequs Limited
AEROENTER.NS,Aeroflex Enterprises Limited
AEROFLEX.NS,Aeroflex Industries Limited
AERONEU.NS,Aeroflex Neu Limited
AETHER.NS,Aether Industries Limited
AFCONS.NS,Afcons Infrastructure Limited
AFFLE.NS,Affle 3I Limited
AFFORDABLE.NS,Affordable Robotic & Automation Limited
AFIL.NS,Akme Fintrade (India) Limited
AFSL.NS,Abans Financial Services Limited
AGARIND.NS,Agarwal Industrial Corporation Limited
AGARWALEYE.NS,Dr. Agarwal'S Health Care Limited
AGI.NS,Agi Greenpac Limited
AGIIL.NS,Agi Infra Limited
AGRITECH.NS,Agri-Tech (India) Limited
AGROPHOS.NS,Agro Phos India Limited
AGSTRA.NS,Ags Transact Technologies Limited
AHCL.NS,Anlon Healthcare Limited
AHLADA.NS,Ahlada Engineers Limited
AHLEAST.NS,Asian Hotels (East) Limited
AHLUCONT.NS,Ahluwalia Contracts (India) Limited
AIAENG.NS,Aia Engineering Limited
AIIL.NS,Authum Investment & Infrastructure Limited
AIRAN.NS,Airan Limited
AIROLAM.NS,Airo Lam Limited
AJANTPHARM.NS,Ajanta Pharma Limited
AJAXENGG.NS,Ajax Engineering Limited
AJMERA.NS,Ajmera Realty & Infra India Limited
AJOONI.NS,Ajooni Biotech Limited
AKASH.NS,Akash Infra-Projects Limited
AKG.NS,Akg Exim Limited
AKI.NS,Aki India Limited
AKSHAR.NS,Akshar Spintex Limited
AKSHARCHEM.NS,Aksharchem India Limited
AKSHOPTFBR.NS,Aksh Optifibre Limited
AKUMS.NS,Akums Drugs And Pharmaceuticals Limited
AKZOINDIA.NS,Akzo Nobel India Limited
ALANKIT.NS,Alankit Limited
ALBERTDAVD.NS,Albert David Limited
ALEMBICLTD.NS,Alembic Limited
ALGOQUANT.NS,Algoquant Fintech Limited
ALICON.NS,Alicon Castalloy Limited
ALIVUS.NS,Alivus Life Sciences Limited
ALKALI.NS,Alkali Metals Limited
ALKEM.NS,Alkem Laboratories Limited
ALKYLAMINE.NS,Alkyl Amines Chemicals Limited
ALLCARGO.NS,Allcargo Logistics Limited
ALLDIGI.NS,Alldigi Tech Limited
ALLTIME.NS,All Time Plastics Limited
ALMONDZ.NS,Almondz Global Securities Limited
ALOKINDS.NS,Alok Industries Limited
ALPA.NS,Alpa Laboratories Limited
ALPHAGEO.NS,Alphageo (India) Limited
AMAGI.NS,Amagi Media Labs Limited
AMANTA.NS,Amanta Healthcare Limited
AMBER.NS,Amber Enterprises India Limited
AMBICAAGAR.NS,Ambica Agarbathies & Aroma Industries Limited
AMBIKCO.NS,Ambika Cotton Mills Limited
AMBUJACEM.NS,Ambuja Cements Limited
AMDIND.NS,Amd Industries Limited
AMJLAND.NS,Amj Land Holdings Limited
AMNPLST.NS,Amines & Plasticizers Limited
AMRUTANJAN.NS,Amrutanjan Health Care Limited
ANANDRATHI.NS,Anand Rathi Wealth Limited
ANANTRAJ.NS,Anant Raj Limited
ANDHRAPAP.NS,Andhra Paper Limited
ANDHRSUGAR.NS,The Andhra Sugars Limited
ANGELONE.NS,Angel One Limited
ANIKINDS.NS,Anik Industries Limited
ANKITMETAL.NS,Ankit Metal & Power Limited
ANMOL.NS,Anmol India Limited
ANSALAPI.NS,Ansal Properties & Infrastructure Limited
ANTELOPUS.NS,Antelopus Selan Energy Limited
ANTGRAPHIC.NS,Antarctica Limited
ANTHEM.NS,Anthem Biosciences Limited
ANUHPHR.NS,Anuh Pharma Limited
ANUP.NS,The Anup Engineering Limited
ANURAS.NS,Anupam Rasayan India Limited
APARINDS.NS,Apar Industries Limited
APCL.NS,Anjani Portland Cement Limited
APCOTEXIND.NS,Apcotex Industries Limited
APEX.NS,Apex Frozen Foods Limited
APLAPOLLO.NS,Apl Apollo Tubes Limited
APLLTD.NS,Alembic Pharmaceuticals Limited
APOLLO.NS,Apollo Micro Systems Limited
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited
APOLLOPIPE.NS,Apollo Pipes Limited
APOLLOTYRE.NS,Apollo Tyres Limited
APOLSINHOT.NS,Apollo Sindoori Hotels Limited
APTECHT.NS,Aptech Limited
APTUS.NS,Aptus Value Housing Finance India Limited
ARCHIDPLY.NS,Archidply Industries Limited
ARCHIES.NS,Archies Limited
ARE&M.NS,Amara Raja Energy & Mobility Limited
ARENTERP.NS,Rajdarshan Industries Limited
ARFIN.NS,Arfin India Limited
ARIES.NS,Aries Agro Limited
ARIHANTCAP.NS,Arihant Capital Markets Limited
ARIHANTSUP.NS,Arihant Superstructures Limited
ARIS.NS,Arisinfra Solutions Limited
ARKADE.NS,Arkade Developers Limited
ARMANFIN.NS,Arman Financial Services Limited
AROGRANITE.NS,Aro Granite Industries Limited
ARROWGREEN.NS,Arrow Greentech Limited
ARSHIYA.NS,Arshiya Limited
ARSSBL.NS,Anand Rathi Share And Stock Brokers Limited
ARTEMISMED.NS,Artemis Medicare Services Limited
ARTNIRMAN.NS,Art Nirman Limited
ARVEE.NS,Arvee Laboratories (India) Limited
ARVIND.NS,Arvind Limited
ARVINDFASN.NS,Arvind Fashions Limited
ARVSMART.NS,Arvind Smartspaces Limited
ASAHIINDIA.NS,Asahi India Glass Limited
ASAHISONG.NS,Asahi Songwon Colors Limited
ASAL.NS,Automotive Stampings And Assemblies Limited
ASALCBR.NS,Associated Alcohols & Breweries Ltd.
ASHAPURMIN.NS,Ashapura Minechem Limited
ASHIANA.NS,Ashiana Housing Limited
ASHIMASYN.NS,Ashima Limited
ASHOKA.NS,Ashoka Buildcon Limited
ASHOKAMET.NS,Ashoka Metcast Limited
ASHOKLEY.NS,Ashok Leyland Limited
ASIANENE.NS,Asian Energy Services Limited
